time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
13.8 0.424805 0.277441 0.338176 -11.9566 11.9566 0.0100442 2 -0.310208 0.0764784 -0.215436 right
13.9 0.420442 0.276657 0.376757 -11.6532 -11.6532 0.0104231 2 -0.309144 0.0713709 -0.216074 forward
14 0.489805 0.316136 0.302034 -12.1299 -12.1299 0.00982778 2 -0.295273 0.0810067 -0.228854 forward
14.1 0.52744 0.250046 0.272356 -12.4742 -12.4742 0.00939785 2 -0.293365 0.0788041 -0.249503 forward
14.2 0.535846 0.244895 0.249953 -12.6504 -12.6504 0.00917785 2 -0.307139 0.0858306 -0.288921 forward
14.3 0.541127 0.211153 0.246165 -12.6802 -12.6802 0.00914065 2 -0.328414 0.0895365 -0.320089 forward
14.4 0.612732 0.190283 0.267779 -12.5102 -12.5102 0.0093529 2 -0.341459 0.0771242 -0.360631 forward
14.5 0.631075 0.15774 0.285415 -12.3715 -12.3715 0.00952609 2 -0.363854 0.0578669 -0.403752 forward
14.6 0.651647 0.12936 0.2674 12.5132 -12.5132 0.00934919 2 -0.377347 0.0556251 -0.431604 left
14.7 0.645637 0.186597 0.262305 12.5532 -12.5532 0.00929915 2 -0.378821 0.0554659 -0.442678 left
14.8 0.64109 0.268424 0.415462 11.3488 -11.3488 0.0108032 2 -0.374998 0.0542087 -0.453916 left
14.9 0.634067 0.286298 0.502131 10.6672 -10.6672 0.0116543 2 -0.399118 0.0533674 -0.477041 left
15 0.611279 0.316366 0.491288 -10.7525 -10.7525 0.0115478 2 -0.379106 0.0676609 -0.483051 forward
15.1 0.588993 0.252402 0.41303 -11.3679 -11.3679 0.0107793 2 -0.39322 0.0688657 -0.483586 forward
15.2 0.64017 0.213643 0.484223 10.8081 -10.8081 0.0114784 2 -0.427833 0.0434137 -0.510262 left
15.3 0.67421 0.264639 0.484198 10.8083 -10.8083 0.0114782 2 -0.434513 0.0656663 -0.53796 left
15.4 0.672872 0.323678 0.515997 10.5582 -10.5582 0.0117904 2 -0.45001 0.0532753 -0.542697 left
15.5 0.680002 0.340067 0.502459 10.6647 -10.6647 0.0116575 2 -0.461347 0.0510708 -0.548878 left
15.6 0.663255 0.308267 0.510733 10.5996 -10.5996 0.0117388 3 -0.471989 0.0417505 -0.547079 left
15.7 0.941901 0.286098 0.473852 10.8896 -10.8896 0.0113766 3 -0.462833 0.0436286 -0.537622 left
15.8 0.905907 0.309682 0.42185 11.2986 -11.2986 0.0108659 3 -0.457403 0.0494778 -0.528771 left
15.9 0.873333 0.327547 0.397011 11.4939 -11.4939 0.010622 3 -0.46192 0.0458253 -0.533618 left
16 0.845679 0.329816 0.34989 11.8645 -11.8645 0.0101592 3 -0.464118 0.0487766 -0.527878 left
16.1 0.815379 0.365638 0.35585 11.7406 -11.7406 0.0103139 3 -0.459576 0.0468224 -0.527352 left
