% # columns="iteration, evaluation, void, void, void, xmean", seed=79710, Mon Jan 15 12:14:22 2018, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
58 638 0 0 0 4.94833015805 3.40218587922 10.9247108262 -0.817776515432 0.776094189433 1.15595102099 14.0981255435 15.5536221316 13.0016893164 -8.27003328872 10.9582753148 0.00206243847865 9.98196542077 10.7397637821
59 649 0 0 0 5.47811085452 3.17143339916 10.8161814608 -0.137834029553 0.0712895095919 1.44399630734 13.6318548095 15.8901304904 13.5152943011 -7.64175169786 10.6165861422 0.89830189127 9.31865552355 10.2764829258
60 660 0 0 0 5.18122074941 2.65295980129 11.3617785714 -0.506082831297 0.404901813768 0.873783786406 14.206013367 15.8173123839 13.2705798325 -7.35456794669 10.6671706699 0.692207627692 9.57927566823 9.93731798954
61 671 0 0 0 5.03398166393 2.43271707723 11.1752076589 -0.486533097296 0.73361826748 0.979658763912 14.0549333077 15.2268138467 12.5410691003 -7.58015948798 11.0208274469 0.880884648339 9.68026430238 9.4444370141
62 682 0 0 0 5.43151356491 1.99527625672 10.8721822728 -0.865190773066 1.31107975488 0.916083627854 13.710994685 15.0260516834 12.525008314 -7.6819235493 11.1986682442 0.616854114821 9.47045276894 9.59634778042
63 693 0 0 0 5.0742887674 1.72833910758 11.513762381 -0.798206803545 1.55620749039 0.409343354075 14.0916428184 15.0166249678 11.7668365908 -7.74751575152 11.1827620807 0.258689585997 9.70091710857 9.66427165927
64 704 0 0 0 5.29362308274 1.99535546426 11.5691483574 -0.760028962171 1.25431846404 0.928313670404 14.3150540865 14.7686937637 11.2269271982 -7.75307088079 10.9277611962 -0.0106190645821 9.91694490904 9.68672991162
65 715 0 0 0 4.80154519112 2.66380526498 12.484745342 -0.54475039215 1.30391337733 0.688765269165 14.5841336277 15.4327705179 11.861741927 -7.69942190596 10.8252332704 0.0256842348307 10.0455291696 9.86217586185
66 726 0 0 0 4.49701012264 3.05985099669 11.9415636904 -0.702268744389 1.15732615089 0.331855612394 14.4196516325 15.176397868 11.6496329706 -7.93288668808 11.0778747007 -0.0009232421671 10.0758723222 9.68361131998
67 737 0 0 0 4.40605974783 3.33437187532 11.5430410729 -0.728538153617 1.20627364304 0.0469566995646 14.2199590006 15.0898743844 11.3389858795 -8.15449280394 11.4287391619 -0.317865905146 10.0281308538 9.66413849919
68 748 0 0 0 4.8292211605 2.98290523485 11.9366073037 -0.7468670711 0.816540762752 0.16256764939 14.2054676188 15.7151982967 11.6383349762 -8.1212390256 10.895748431 0.0280827782237 9.78782243111 9.84188307619
69 759 0 0 0 4.800377411 2.96824177985 12.0625928206 -1.12141329671 0.902390968072 0.401756198955 14.3444501007 15.8080151382 11.8519933957 -7.62251578831 10.6758399305 -0.364551375378 9.88943037931 10.2413729818
70 770 0 0 0 4.55040304834 2.86049332837 12.2847889623 -1.44398117723 1.12539495828 0.480291931841 14.31243838 15.8242538944 11.2488276018 -7.42398937832 10.7401618196 -0.12829178306 9.93214914228 10.346168841
71 781 0 0 0 4.52132296155 3.32677991654 12.6236807799 -1.40288927333 1.28263802881 0.232400822637 14.2211176663 16.2176103916 11.5231648332 -7.48276961986 10.6736832608 -0.200344250419 9.82604450266 10.5937700525
72 792 0 0 0 4.50948112802 2.8056121679 12.5284240669 -1.21553464662 1.11236786331 0.154703243493 14.1601505856 16.2222855434 11.0153050849 -7.16568570693 10.8372613251 -0.120163574364 9.88981739754 10.6541305602
73 803 0 0 0 4.3399535804 3.05154094871 12.7363139209 -1.3642405172 1.11658108186 0.201077916155 14.4080455418 16.1462588679 11.2523218091 -7.30905304652 10.6899122131 -0.169184437147 9.90201058458 10.6030962566
74 814 0 0 0 4.08039358452 2.88180381298 12.4730599889 -1.18573662953 0.668976560555 0.233389642555 14.3953488849 16.1165484977 11.0815409526 -7.25066892334 10.7457433813 0.100232620987 9.99008879589 10.8883816953
75 825 0 0 0 3.93006347766 3.25654735329 12.5485346526 -0.965482830749 0.79781798519 0.0779095674544 14.6956909969 16.1733034554 11.1753983107 -7.4528482473 10.7742276406 0.1122542302 9.90709944717 11.0040163713
76 836 0 0 0 3.98919795467 3.45907147283 12.5315619087 -0.941680176893 0.457302908932 0.351684566572 14.7442147691 16.0859344831 11.3802819425 -7.38382950893 10.5467852453 -0.237399246031 10.0505108805 11.2659373848
77 847 0 0 0 4.29631701558 3.36917569837 12.8879927381 -0.856642078326 0.419093141181 0.278069278364 14.9533901388 15.9721110423 11.2977626928 -7.32333583811 10.4649174755 0.133820544134 10.0079965955 11.2279046518
78 858 0 0 0 4.34145363026 3.18888525006 12.7067579567 -0.796988347242 0.621273474378 0.190200305131 14.6390428704 15.9580074811 10.8920202894 -7.12348894061 10.7313586807 0.135124183353 10.0681972473 11.0965773569
79 869 0 0 0 4.65733070897 3.28858567348 12.673730523 -0.910122861306 0.805553852202 0.324001264194 14.59215523 15.8324278843 11.0163671415 -6.77156212107 10.6514377641 0.227961874769 9.88535080553 11.1639009797
80 880 0 0 0 4.81322672609 3.25183359024 12.6702076297 -0.813501061239 1.07061742024 0.239895546022 14.3386176134 15.8775563189 10.9301413271 -6.77504817756 10.7699499458 0.141309624667 9.83483000029 10.7898456716
81 891 0 0 0 4.71921237269 3.25220117549 12.5858556251 -0.751957283216 1.11026879353 0.320808455025 14.1308195446 15.9713589113 10.733872302 -6.917752202 10.8707080159 0.250893020533 9.76364799846 10.8100012729
82 902 0 0 0 4.72383873247 3.19846927302 12.654805578 -0.636039899111 1.44883116482 0.221315896532 14.0722773217 16.1030828792 10.7594126602 -6.92367120938 10.976845164 0.623857188266 9.40672019994 10.7137207572
83 913 0 0 0 4.34755402759 3.22161744975 12.5058633934 -0.965805335869 1.39476766226 0.0715863505451 14.2230934249 16.5119351147 10.9025606461 -7.27151304546 10.8981691088 0.303462660548 9.70878851811 10.6598053537
84 924 0 0 0 4.20434938594 3.0042234001 12.0654813581 -0.889369436065 1.33373276032 0.333962078665 14.4103522136 16.6708093696 10.7371438332 -7.42507489302 10.8511620704 0.325099483434 9.64053753568 10.7304428517
85 935 0 0 0 4.3424252152 3.40815199349 11.6833046662 -0.704984734293 1.11277693414 0.167745574095 14.3059560207 16.7239457621 10.5863202864 -7.71243755188 11.0975290071 0.0608552568542 9.78513524117 10.6029027354
86 946 0 0 0 4.28437888641 3.06272544791 11.4400411084 -0.539402946968 1.13460567955 0.144609145832 14.465659319 16.8926756285 10.3604781778 -7.72334961296 10.9527408464 0.313424941766 9.64386527446 10.7451998503
87 957 0 0 0 4.19753533031 3.10245676987 11.4599777029 -0.696929882157 1.11112919485 0.0514585300534 14.7979660028 16.6689879954 10.3169847909 -7.58832846665 10.8609938648 0.331624057247 9.72161997161 11.0484686356
88 968 0 0 0 3.80621521099 3.41709175715 11.4175757797 -0.949901867865 1.09252375484 0.00939090823689 14.9389789538 16.7490444774 10.8728830515 -7.62755423819 10.7754836888 0.377757668177 9.79906777031 11.3125216059
