angle,angular error,linear error,left speed,right speed,extension
0.1,0.9,0,0,0,3.36635
0.1,0.9,0.1,0,0,3.26385
0.1,0.9,0.2,0,0,3.16135
0.1,0.9,0.3,0,0,3.05885
0.1,0.9,0.4,0,0,2.95635
0.1,0.9,0.5,0,0,2.85385
0.1,0.9,0.6,0,0,2.75135
0.1,0.9,0.7,0,0,2.64885
0.1,0.9,0.8,0,0,2.54635
0.1,0.9,0.9,0,0,2.44385
0.1,0.9,1,0,0,2.34135
0.1,1,0,0,0,3.46645
0.1,1,0.1,0,0,3.36395
0.1,1,0.2,0,0,3.26145
0.1,1,0.3,0,0,3.15895
0.1,1,0.4,0,0,3.05645
0.1,1,0.5,0,0,2.95395
0.1,1,0.6,0,0,2.85145
0.1,1,0.7,0,0,2.74895
0.1,1,0.8,0,0,2.64645
0.1,1,0.9,0,0,2.54395
0.1,1,1,0,0,2.44145
0.2,0,0,1.12274,0,3.62689
0.2,0,0.1,1.09864,0,3.52439
0.2,0,0.2,1.07454,0,3.42189
0.2,0,0.3,1.05044,0,3.31939
0.2,0,0.4,1.02634,0,3.21689
0.2,0,0.5,1.00224,0,3.11439
0.2,0,0.6,0.978138,0,3.01189
0.2,0,0.7,0.954038,0,2.90939
0.2,0,0.8,0.929938,0,2.80689
0.2,0,0.9,0.905838,0,2.70439
0.2,0,1,0.881738,0,2.60189
0.2,0.1,0,1.00024,0,3.72699
0.2,0.1,0.1,0.976138,0,3.62449
0.2,0.1,0.2,0.952038,0,3.52199
0.2,0.1,0.3,0.927938,0,3.41949
0.2,0.1,0.4,0.903838,0,3.31699
0.2,0.1,0.5,0.879738,0,3.21449
0.2,0.1,0.6,0.855638,0,3.11199
0.2,0.1,0.7,0.831538,0,3.00949
0.2,0.1,0.8,0.807438,0,2.90699
0.2,0.1,0.9,0.783338,0,2.80449
0.2,0.1,1,0.759238,0,2.70199
0.2,0.2,0,0.877738,0,3.82709
0.2,0.2,0.1,0.853638,0,3.72459
0.2,0.2,0.2,0.829538,0,3.62209
0.2,0.2,0.3,0.805438,0,3.51959
0.2,0.2,0.4,0.781338,0,3.41709
0.2,0.2,0.5,0.757238,0,3.31459
0.2,0.2,0.6,0.733138,0,3.21209
0.2,0.2,0.7,0.709038,0,3.10959
0.2,0.2,0.8,0.684938,0,3.00709
0.2,0.2,0.9,0.660838,0,2.90459
0.2,0.2,1,0.636738,0,2.80209
0.2,0.3,0,0.755238,0,3.92719
0.2,0.3,0.1,0.731138,0,3.82469
0.2,0.3,0.2,0.707038,0,3.72219
0.2,0.3,0.3,0.682938,0,3.61969
0.2,0.3,0.4,0.658838,0,3.51719
0.2,0.3,0.5,0.634738,0,3.41469
0.2,0.3,0.6,0.610638,0,3.31219
0.2,0.3,0.7,0.586538,0,3.20969
0.2,0.3,0.8,0.562438,0,3.10719
0.2,0.3,0.9,0.538338,0,3.00469
0.2,0.3,1,0.514238,0,2.90219
0.2,0.4,0,0.632738,0,4.02729
0.2,0.4,0.1,0.608638,0,3.92479
0.2,0.4,0.2,0.584538,0,3.82229
0.2,0.4,0.3,0.560438,0,3.71979
0.2,0.4,0.4,0.536338,0,3.61729
0.2,0.4,0.5,0.512238,0,3.51479
0.2,0.4,0.6,0.488138,0,3.41229
0.2,0.4,0.7,0.464038,0,3.30979
0.2,0.4,0.8,0.439938,0,3.20729
0.2,0.4,0.9,0.415838,0,3.10479
0.2,0.4,1,0.391738,0,3.00229
0.2,0.5,0,0.510238,0,4.12739
0.2,0.5,0.1,0.486138,0,4.02489
0.2,0.5,0.2,0.462038,0,3.92239
0.2,0.5,0.3,0.437938,0,3.81989
0.2,0.5,0.4,0.413838,0,3.71739
0.2,0.5,0.5,0.389738,0,3.61489
0.2,0.5,0.6,0.365638,0,3.51239
0.2,0.5,0.7,0.341538,0,3.40989
0.2,0.5,0.8,0.317438,0,3.30739
0.2,0.5,0.9,0.293338,0,3.20489
0.2,0.5,1,0.269238,0,3.10239
0.2,0.6,0,0.387738,0,4.22749
0.2,0.6,0.1,0.363638,0,4.12499
0.2,0.6,0.2,0.339538,0,4.02249
0.2,0.6,0.3,0.315438,0,3.91999
0.2,0.6,0.4,0.291338,0,3.81749
0.2,0.6,0.5,0.267238,0,3.71499
0.2,0.6,0.6,0.243138,0,3.61249
0.2,0.6,0.7,0.219038,0,3.50999
0.2,0.6,0.8,0.194938,0,3.40749
0.2,0.6,0.9,0.170838,0,3.30499
0.2,0.6,1,0.146738,0,3.20249
0.2,0.7,0,0.265238,0,4.32759
0.2,0.7,0.1,0.241138,0,4.22509
0.2,0.7,0.2,0.217038,0,4.12259
0.2,0.7,0.3,0.192938,0,4.02009
0.2,0.7,0.4,0.168838,0,3.91759
0.2,0.7,0.5,0.144738,0,3.81509
0.2,0.7,0.6,0.120638,0,3.71259
0.2,0.7,0.7,0.0965379,0,3.61009
0.2,0.7,0.8,0.0724379,0,3.50759
0.2,0.7,0.9,0.0483379,0,3.40509
0.2,0.7,1,0.0242379,0,3.30259
0.2,0.8,0,0.142738,0,4.42769
0.2,0.8,0.1,0.118638,0,4.32519
0.2,0.8,0.2,0.0945379,0,4.22269
0.2,0.8,0.3,0.0704379,0,4.12019
0.2,0.8,0.4,0.0463379,0,4.01769
0.2,0.8,0.5,0.0222379,0,3.91519
0.2,0.8,0.6,0,0,3.81269
0.2,0.8,0.7,0,0,3.71019
0.2,0.8,0.8,0,0,3.60769
0.2,0.8,0.9,0,0,3.50519
0.2,0.8,1,0,0,3.40269
0.2,0.9,0,0.0202379,0,4.52779
0.2,0.9,0.1,0,0,4.42529
0.2,0.9,0.2,0,0,4.32279
0.2,0.9,0.3,0,0,4.22029
0.2,0.9,0.4,0,0,4.11779
0.2,0.9,0.5,0,0,4.01529
0.2,0.9,0.6,0,0,3.91279
0.2,0.9,0.7,0,0,3.81029
0.2,0.9,0.8,0,0,3.70779
0.2,0.9,0.9,0,0,3.60529
0.2,0.9,1,0,0,3.50279
0.2,1,0,0,0,4.62789
0.2,1,0.1,0,0,4.52539
0.2,1,0.2,0,0,4.42289
0.2,1,0.3,0,0,4.32039
0.2,1,0.4,0,0,4.21789
0.2,1,0.5,0,0,4.11539
0.2,1,0.6,0,0,4.01289
0.2,1,0.7,0,0,3.91039
0.2,1,0.8,0,0,3.80789
0.2,1,0.9,0,0,3.70539
0.2,1,1,0,0,3.60289
0.3,0,0,1.90971,0,4.78834
0.3,0,0.1,1.88561,0,4.68584
0.3,0,0.2,1.86151,0,4.58334
0.3,0,0.3,1.83741,0,4.48084
0.3,0,0.4,1.81331,0,4.37834
0.3,0,0.5,1.78921,0,4.27584
0.3,0,0.6,1.76511,0,4.17334
0.3,0,0.7,1.74101,0,4.07084
0.3,0,0.8,1.71691,0,3.96834
0.3,0,0.9,1.69281,0,3.86584
0.3,0,1,1.66871,0,3.76334
0.3,0.1,0,1.78721,0,4.88844
0.3,0.1,0.1,1.76311,0,4.78594
0.3,0.1,0.2,1.73901,0,4.68344
0.3,0.1,0.3,1.71491,0,4.58094
0.3,0.1,0.4,1.69081,0,4.47844
0.3,0.1,0.5,1.66671,0,4.37594
0.3,0.1,0.6,1.64261,0,4.27344
0.3,0.1,0.7,1.61851,0,4.17094
0.3,0.1,0.8,1.59441,0,4.06844
0.3,0.1,0.9,1.57031,0,3.96594
0.3,0.1,1,1.54621,0,3.86344
0.3,0.2,0,1.66471,0,4.98854
0.3,0.2,0.1,1.64061,0,4.88604
0.3,0.2,0.2,1.61651,0,4.78354
0.3,0.2,0.3,1.59241,0,4.68104
0.3,0.2,0.4,1.56831,0,4.57854
0.3,0.2,0.5,1.54421,0,4.47604
0.3,0.2,0.6,1.52011,0,4.37354
0.3,0.2,0.7,1.49601,0,4.27104
0.3,0.2,0.8,1.47191,0,4.16854
0.3,0.2,0.9,1.44781,0,4.06604
0.3,0.2,1,1.42371,0,3.96354
0.3,0.3,0,1.54221,0,5.08864
0.3,0.3,0.1,1.51811,0,4.98614
0.3,0.3,0.2,1.49401,0,4.88364
0.3,0.3,0.3,1.46991,0,4.78114
0.3,0.3,0.4,1.44581,0,4.67864
0.3,0.3,0.5,1.42171,0,4.57614
0.3,0.3,0.6,1.39761,0,4.47364
0.3,0.3,0.7,1.37351,0,4.37114
0.3,0.3,0.8,1.34941,0,4.26864
0.3,0.3,0.9,1.32531,0,4.16614
0.3,0.3,1,1.30121,0,4.06364
0.3,0.4,0,1.41971,0,5.18874
0.3,0.4,0.1,1.39561,0,5.08624
0.3,0.4,0.2,1.37151,0,4.98374
0.3,0.4,0.3,1.34741,0,4.88124
0.3,0.4,0.4,1.32331,0,4.77874
0.3,0.4,0.5,1.29921,0,4.67624
0.3,0.4,0.6,1.27511,0,4.57374
0.3,0.4,0.7,1.25101,0,4.47124
0.3,0.4,0.8,1.22691,0,4.36874
0.3,0.4,0.9,1.20281,0,4.26624
0.3,0.4,1,1.17871,0,4.16374
0.3,0.5,0,1.29721,0,5.28884
0.3,0.5,0.1,1.27311,0,5.18634
0.3,0.5,0.2,1.24901,0,5.08384
0.3,0.5,0.3,1.22491,0,4.98134
0.3,0.5,0.4,1.20081,0,4.87884
0.3,0.5,0.5,1.17671,0,4.77634
0.3,0.5,0.6,1.15261,0,4.67384
0.3,0.5,0.7,1.12851,0,4.57134
0.3,0.5,0.8,1.10441,0,4.46884
0.3,0.5,0.9,1.08031,0,4.36634
0.3,0.5,1,1.05621,0,4.26384
0.3,0.6,0,1.17471,0,5.38894
0.3,0.6,0.1,1.15061,0,5.28644
0.3,0.6,0.2,1.12651,0,5.18394
0.3,0.6,0.3,1.10241,0,5.08144
0.3,0.6,0.4,1.07831,0,4.97894
0.3,0.6,0.5,1.05421,0,4.87644
0.3,0.6,0.6,1.03011,0,4.77394
