Angle,Linear Error,Angular Error,Left Speed,Right Speed,Weg Extension
0.2,0.6,0.5,0.387627,0.293953,0.884199
0.2,0.6,0.6,0.372656,0.343156,0.913671
0.2,0.6,0.7,0.357925,0.395976,0.936184
0.2,0.6,0.8,0.343458,0.45134,0.953127
0.2,0.6,0.9,0.329276,0.507934,0.965736
0.2,0.6,1,0.315398,0.564327,0.975043
0.2,0.7,0,0.516694,0.110336,0.614678
0.2,0.7,0.1,0.500815,0.134667,0.688587
0.2,0.7,0.2,0.484935,0.163377,0.753992
0.2,0.7,0.3,0.469084,0.196817,0.809462
0.2,0.7,0.4,0.453297,0.235176,0.854833
0.2,0.7,0.5,0.437602,0.27842,0.890857
0.2,0.7,0.6,0.422031,0.326225,0.91879
0.2,0.7,0.7,0.406614,0.377938,0.940056
0.2,0.7,0.8,0.391379,0.432586,0.956019
0.2,0.7,0.9,0.376352,0.488924,0.967877
0.2,0.7,1,0.36156,0.545546,0.976616
0.2,0.8,0,0.567878,0.103089,0.630353
0.2,0.8,0.1,0.552224,0.126048,0.702709
0.2,0.8,0.2,0.536465,0.153247,0.766156
0.2,0.8,0.3,0.520633,0.185071,0.819539
0.2,0.8,0.4,0.50476,0.221774,0.862917
0.2,0.8,0.5,0.488877,0.263402,0.897176
0.2,0.8,0.6,0.473016,0.309735,0.923631
0.2,0.8,0.7,0.45721,0.360231,0.943706
0.2,0.8,0.8,0.441489,0.414023,0.95874
0.2,0.8,0.9,0.425885,0.469946,0.969887
0.2,0.8,1,0.410427,0.526635,0.978092
0.2,0.9,0,0.617653,0.0962669,0.645757
0.2,0.9,0.1,0.60254,0.117906,0.716454
0.2,0.9,0.2,0.587229,0.143636,0.777895
0.2,0.9,0.3,0.571746,0.173875,0.829196
0.2,0.9,0.4,0.556123,0.208926,0.870619
0.2,0.9,0.5,0.540387,0.248915,0.903169
0.2,0.9,0.6,0.52457,0.293715,0.928205
0.2,0.9,0.7,0.508704,0.342897,0.947147
0.2,0.9,0.8,0.49282,0.395701,0.9613
0.2,0.9,0.9,0.476951,0.451055,0.971776
0.2,0.9,1,0.461129,0.507647,0.979476
0.2,1,0,0.665077,0.0898506,0.660865
0.2,1,0.1,0.650778,0.110224,0.729808
0.2,1,0.2,0.636203,0.134533,0.789207
0.2,1,0.3,0.621373,0.16322,0.838438
0.2,1,0.4,0.606313,0.196635,0.877949
0.2,1,0.5,0.591048,0.234969,0.908848
0.2,1,0.6,0.575606,0.27819,0.932526
0.2,1,0.7,0.560014,0.325972,0.950389
0.2,1,0.8,0.544304,0.377668,0.963707
0.2,1,0.9,0.528504,0.432303,0.973549
0.2,1,1,0.512647,0.488637,0.980775
0.3,0,0,0.249272,0.175673,0.495333
0.3,0,0.1,0.237572,0.210995,0.576356
0.3,0,0.2,0.226255,0.251253,0.653471
0.3,0,0.3,0.215325,0.296308,0.723288
0.3,0,0.4,0.204784,0.345712,0.783695
0.3,0,0.5,0.19463,0.398687,0.833942
0.3,0,0.6,0.184863,0.454144,0.874388
0.3,0,0.7,0.175479,0.510763,0.906092
0.3,0,0.8,0.166475,0.567108,0.930431
0.3,0,0.9,0.157844,0.621768,0.948818
0.3,0,1,0.14958,0.6735,0.962541
0.3,0.1,0,0.289853,0.164931,0.512008
0.3,0.1,0.1,0.27695,0.198612,0.592556
0.3,0.1,0.2,0.264408,0.237218,0.668418
0.3,0.1,0.3,0.252236,0.2807,0.736439
0.3,0.1,0.4,0.240442,0.328718,0.794789
0.3,0.1,0.5,0.229029,0.380603,0.842976
0.3,0.1,0.6,0.218003,0.435366,0.881534
0.3,0.1,0.7,0.207365,0.491753,0.911617
0.3,0.1,0.8,0.197116,0.548351,0.934627
0.3,0.1,0.9,0.187253,0.603725,0.951962
0.3,0.1,1,0.177774,0.656562,0.964873
0.3,0.2,0,0.3341,0.154721,0.528656
0.3,0.2,0.1,0.320116,0.186785,0.608557
0.3,0.2,0.2,0.306448,0.223734,0.683034
0.3,0.2,0.3,0.293111,0.265604,0.749181
0.3,0.2,0.4,0.280121,0.31216,0.805456
0.3,0.2,0.5,0.267489,0.362844,0.851606
0.3,0.2,0.6,0.255224,0.416772,0.888326
0.3,0.2,0.7,0.243335,0.472767,0.916846
0.3,0.2,0.8,0.231828,0.529456,0.938587
0.3,0.2,0.9,0.220705,0.585395,0.954923
0.3,0.2,1,0.209971,0.639215,0.967066
0.3,0.3,0,0.381473,0.145034,0.545241
0.3,0.3,0.1,0.366598,0.175507,0.624328
0.3,0.3,0.2,0.351973,0.210803,0.697297
0.3,0.3,0.3,0.33762,0.251037,0.761507
0.3,0.3,0.4,0.32356,0.296069,0.815697
0.3,0.3,0.5,0.309812,0.345452,0.85984
0.3,0.3,0.6,0.296392,0.398411,0.894774
0.3,0.3,0.7,0.283314,0.453859,0.921793
0.3,0.3,0.8,0.270592,0.510476,0.942321
0.3,0.3,0.9,0.258235,0.566825,0.957709
0.3,0.3,1,0.246252,0.621498,0.969125
0.3,0.4,0,0.431214,0.135856,0.561726
0.3,0.4,0.1,0.415703,0.164772,0.63984
0.3,0.4,0.2,0.400356,0.198429,0.71119
0.3,0.4,0.3,0.385203,0.23701,0.773411
0.3,0.4,0.4,0.37027,0.280468,0.825515
0.3,0.4,0.5,0.35558,0.328464,0.867688
0.3,0.4,0.6,0.341158,0.380332,0.900892
